"Date","Price","Open","High","Low","Vol.","Change %"
"01/04/2007","3,285.74","3,240.07","3,452.84","3,170.03","","3.95%"
"01/03/2007","3,160.93","3,133.88","3,250.86","2,915.34","","4.17%"
"01/02/2007","3,034.42","3,151.27","3,316.22","3,034.42","","-0.32%"
"01/01/2007","3,044.22","3,015.74","3,173.98","2,891.66","","4.30%"
"01/12/2006","2,918.63","2,843.64","2,991.35","2,766.07","","5.39%"
"01/11/2006","2,769.39","2,707.42","2,860.21","2,663.23","","4.65%"
"01/10/2006","2,646.35","2,571.45","2,754.33","2,548.59","","4.89%"
"01/09/2006","2,523.04","2,489.21","2,576.26","2,447.80","","2.88%"
"01/08/2006","2,452.51","2,436.64","2,492.27","2,394.98","","2.11%"
"01/07/2006","2,401.78","2,435.35","2,456.52","2,277.34","","0.14%"
"01/06/2006","2,398.37","2,394.36","2,446.26","2,243.54","","2.58%"
"01/05/2006","2,338.05","2,613.87","2,666.33","2,338.05","","-8.25%"
"01/04/2006","2,548.35","2,542.77","2,620.35","2,463.57","","3.35%"
"01/03/2006","2,465.83","2,472.03","2,541.29","2,416.08","","2.02%"
"01/02/2006","2,416.92","2,425.67","2,490.46","2,349.96","","2.90%"
"01/01/2006","2,348.89","2,354.59","2,440.71","2,290.16","","2.99%"
"01/12/2005","2,280.77","2,299.40","2,355.92","2,232.57","","2.53%"
"01/11/2005","2,224.59","2,226.71","2,322.76","2,162.00","","3.79%"
"01/10/2005","2,143.37","2,302.03","2,356.02","2,116.63","","-3.75%"
"01/09/2005","2,226.77","2,289.58","2,325.11","2,222.88","","0.29%"
"01/08/2005","2,220.25","2,353.57","2,399.75","2,217.61","","-2.98%"
"01/07/2005","2,288.43","2,212.91","2,362.66","2,152.34","","5.88%"
"01/06/2005","2,161.29","2,169.46","2,230.56","2,094.51","","3.82%"
"01/05/2005","2,081.82","2,146.04","2,187.78","2,057.69","","1.85%"
"01/04/2005","2,043.91","2,141.38","2,186.26","2,017.27","","-0.62%"
"01/03/2005","2,056.57","2,120.94","2,191.29","2,034.93","","1.11%"
"01/02/2005","2,033.93","2,097.66","2,172.93","2,017.42","","0.79%"
"01/01/2005","2,018.02","2,065.15","2,101.65","1,992.56","","0.91%"
"01/12/2004","1,999.90","2,029.28","2,076.59","1,918.61","","2.89%"
"01/11/2004","1,943.65","1,988.80","2,050.78","1,902.22","","2.10%"
"01/10/2004","1,903.65","1,986.96","2,021.91","1,872.33","","-0.26%"
"01/09/2004","1,908.56","1,921.48","2,007.98","1,860.90","","3.30%"
"01/08/2004","1,847.58","1,886.98","1,942.80","1,795.55","","0.71%"
"01/07/2004","1,834.49","1,840.31","1,895.98","1,785.32","","2.69%"
"01/06/2004","1,786.41","1,787.38","1,844.89","1,726.70","","2.65%"
"01/05/2004","1,740.26","1,841.39","1,882.38","1,652.10","","-3.00%"
"01/04/2004","1,794.17","1,856.80","1,906.27","1,763.93","","-0.76%"
"01/03/2004","1,807.96","1,898.09","1,904.94","1,760.05","","-2.20%"
"01/02/2004","1,848.66","1,835.12","1,902.87","1,788.01","","1.95%"
