"Date","Price","Open","High","Low","Vol.","Change %"
"05/04/2011","9,615.55","9,732.26","9,732.26","9,566.05","182.9M","-1.06%"
"04/04/2011","9,718.89","9,773.91","9,808.60","9,718.89","171.8M","0.11%"
"01/04/2011","9,708.39","9,757.28","9,822.06","9,698.60","191.5M","-0.48%"
"31/03/2011","9,755.10","9,765.28","9,765.81","9,658.64","187.1M","0.48%"
"30/03/2011","9,708.79","9,489.51","9,708.79","9,479.03","217.1M","2.64%"
"29/03/2011","9,459.08","9,348.60","9,502.23","9,317.38","200.6M","-0.21%"
"28/03/2011","9,478.53","9,541.76","9,541.76","9,405.20","192.7M","-0.60%"
"25/03/2011","9,536.13","9,565.49","9,569.71","9,469.37","203.7M","1.07%"
"24/03/2011","9,435.01","9,479.77","9,509.85","9,418.71","200.1M","-0.15%"
"23/03/2011","9,449.47","9,590.38","9,592.40","9,387.95","265.1M","-1.65%"
"22/03/2011","9,608.32","9,403.05","9,625.03","9,395.85","252.6M","4.36%"
"18/03/2011","9,206.75","9,083.95","9,275.60","9,073.25","245.4M","2.72%"
"17/03/2011","8,962.67","8,913.35","9,093.61","8,639.56","312.1M","-1.44%"
"16/03/2011","9,093.72","8,767.20","9,168.51","8,763.95","372.1M","5.68%"
"15/03/2011","8,605.15","9,441.66","9,441.66","8,227.63","415.7M","-10.55%"
"14/03/2011","9,620.49","10,044.17","10,049.92","9,578.65","349.8M","-6.18%"
"11/03/2011","10,254.43","10,298.64","10,378.55","10,254.43","236M","-1.72%"
"10/03/2011","10,434.38","10,544.13","10,549.17","10,410.10","131M","-1.46%"
"09/03/2011","10,589.50","10,607.23","10,662.07","10,563.82","131M","0.61%"
"08/03/2011","10,525.19","10,513.08","10,565.10","10,509.23","150.3M","0.19%"
"07/03/2011","10,505.02","10,626.97","10,626.97","10,472.51","149.4M","-1.76%"
"04/03/2011","10,693.66","10,730.91","10,768.43","10,664.37","148.3M","1.02%"
"03/03/2011","10,586.02","10,529.77","10,593.34","10,522.40","122.4M","0.89%"
"02/03/2011","10,492.38","10,609.28","10,629.50","10,492.38","153.3M","-2.43%"
"01/03/2011","10,754.03","10,676.24","10,754.03","10,672.91","156.4M","1.22%"
"28/02/2011","10,624.09","10,504.54","10,628.76","10,448.83","186.6M","0.92%"
"25/02/2011","10,526.76","10,475.78","10,532.21","10,454.46","154.7M","0.71%"
"24/02/2011","10,452.71","10,533.20","10,542.70","10,428.38","184.9M","-1.19%"
"23/02/2011","10,579.10","10,588.82","10,666.72","10,569.93","182.3M","-0.80%"
"22/02/2011","10,664.70","10,745.52","10,761.22","10,639.78","178.9M","-1.78%"
"21/02/2011","10,857.53","10,820.78","10,859.39","10,789.41","136.4M","0.14%"
"18/02/2011","10,842.80","10,829.15","10,862.43","10,810.12","151.3M","0.06%"
"17/02/2011","10,836.64","10,882.91","10,891.60","10,820.48","173.7M","0.26%"
"16/02/2011","10,808.29","10,758.86","10,842.31","10,752.61","189.1M","0.57%"
"15/02/2011","10,746.67","10,738.81","10,760.99","10,712.49","142.7M","0.20%"
"14/02/2011","10,725.54","10,689.65","10,725.54","10,674.44","140.6M","1.13%"
"10/02/2011","10,605.65","10,574.80","10,631.94","10,570.62","145.6M","-0.11%"
"09/02/2011","10,617.83","10,686.72","10,701.92","10,599.50","165M","-0.17%"
"08/02/2011","10,635.98","10,645.03","10,648.80","10,623.70","150.4M","0.41%"
"07/02/2011","10,592.04","10,641.30","10,644.21","10,572.72","162.3M","0.46%"
"04/02/2011","10,543.52","10,526.39","10,580.36","10,524.13","200.3M","1.08%"
"03/02/2011","10,431.36","10,424.68","10,450.46","10,409.84","150.7M","-0.25%"
"02/02/2011","10,457.36","10,368.48","10,479.75","10,366.96","180.5M","1.78%"
"01/02/2011","10,274.50","10,281.55","10,299.38","10,245.75","149M","0.36%"
"31/01/2011","10,237.92","10,219.98","10,265.96","10,182.57","146M","-1.18%"
"28/01/2011","10,360.34","10,460.29","10,480.08","10,332.65","150.7M","-1.13%"
"27/01/2011","10,478.66","10,466.34","10,496.40","10,421.75","145.3M","0.74%"
"26/01/2011","10,401.90","10,410.29","10,440.35","10,392.46","111M","-0.60%"
"25/01/2011","10,464.42","10,374.64","10,480.24","10,355.80","142.9M","1.15%"
"24/01/2011","10,345.11","10,318.60","10,347.94","10,278.81","134.1M","0.69%"
"21/01/2011","10,274.52","10,459.04","10,461.07","10,257.99","183.9M","-1.56%"
"20/01/2011","10,437.31","10,492.32","10,505.63","10,421.83","132.9M","-1.13%"
"19/01/2011","10,557.10","10,567.88","10,580.68","10,534.02","138.6M","0.36%"
"18/01/2011","10,518.98","10,461.04","10,548.21","10,456.71","126.4M","0.15%"
"17/01/2011","10,502.86","10,562.09","10,562.39","10,482.69","126.7M","0.04%"
"14/01/2011","10,499.04","10,502.77","10,579.97","10,497.26","170.9M","-0.86%"
"13/01/2011","10,589.76","10,593.46","10,620.57","10,565.28","160.9M","0.73%"
"12/01/2011","10,512.80","10,562.28","10,576.51","10,502.96","170.7M","0.02%"
"11/01/2011","10,510.68","10,484.62","10,538.39","10,476.29","138.5M","-0.29%"
"07/01/2011","10,541.04","10,506.72","10,550.71","10,503.02","161.8M","0.11%"
"06/01/2011","10,529.76","10,477.52","10,530.11","10,477.52","166M","1.44%"
"05/01/2011","10,380.77","10,387.95","10,413.45","10,358.01","114.6M","-0.17%"
"04/01/2011","10,398.10","10,352.19","10,409.17","10,321.28","114.1M","1.65%"
"30/12/2010","10,228.92","10,303.13","10,315.47","10,209.93","107.8M","-1.12%"
"29/12/2010","10,344.54","10,282.84","10,344.54","10,276.61","87.6M","0.50%"
"28/12/2010","10,292.63","10,330.01","10,340.84","10,292.63","77.9M","-0.61%"
"27/12/2010","10,355.99","10,292.84","10,376.91","10,292.84","83.1M","0.75%"
"24/12/2010","10,279.19","10,275.97","10,290.89","10,264.06","86.2M","-0.65%"
"22/12/2010","10,346.48","10,348.48","10,394.22","10,327.60","142.1M","-0.23%"
"21/12/2010","10,370.53","10,277.14","10,372.51","10,266.29","113.3M","1.51%"
"20/12/2010","10,216.41","10,296.55","10,301.15","10,182.74","113.6M","-0.85%"
"17/12/2010","10,303.83","10,307.17","10,327.42","10,280.80","140.4M","-0.07%"
"16/12/2010","10,311.29","10,297.55","10,347.39","10,282.54","140.8M","0.01%"
"15/12/2010","10,309.78","10,338.14","10,340.69","10,282.85","137.4M","-0.07%"
"14/12/2010","10,316.77","10,272.70","10,319.24","10,267.22","170.5M","0.22%"
"13/12/2010","10,293.89","10,212.52","10,293.89","10,199.73","145.3M","0.80%"
"10/12/2010","10,211.95","10,373.70","10,373.70","10,194.27","240.7M","-0.72%"
"09/12/2010","10,285.88","10,277.87","10,298.25","10,240.11","153.4M","0.52%"
"08/12/2010","10,232.33","10,200.16","10,258.90","10,184.32","126.6M","0.90%"
"07/12/2010","10,141.10","10,152.92","10,167.10","10,094.41","114.8M","-0.26%"
"06/12/2010","10,167.23","10,175.23","10,179.82","10,143.58","95.3M","-0.11%"
"03/12/2010","10,178.32","10,231.78","10,254.00","10,154.99","107.7M","0.10%"
"02/12/2010","10,168.52","10,151.15","10,187.59","10,143.08","131.4M","1.81%"
"01/12/2010","9,988.05","9,939.80","9,988.05","9,918.55","122.6M","0.51%"
"30/11/2010","9,937.04","10,070.31","10,101.42","9,937.04","153.3M","-1.87%"
"29/11/2010","10,125.99","10,075.66","10,149.94","10,044.01","124.8M","0.86%"
"26/11/2010","10,039.56","10,078.09","10,134.64","10,039.56","115.8M","-0.40%"
"25/11/2010","10,079.76","10,117.85","10,123.27","10,038.79","133.8M","0.50%"
"24/11/2010","10,030.11","9,942.54","10,064.31","9,904.92","150.1M","-0.84%"
"22/11/2010","10,115.19","10,133.48","10,157.97","10,091.99","121.8M","0.93%"
"19/11/2010","10,022.39","10,124.84","10,130.23","10,019.08","160.8M","0.09%"
"18/11/2010","10,013.63","9,820.60","10,013.63","9,798.56","188.9M","2.06%"
"17/11/2010","9,811.66","9,693.21","9,817.37","9,693.21","112.6M","0.15%"
"16/11/2010","9,797.10","9,892.82","9,908.30","9,774.12","133.3M","-0.31%"
"15/11/2010","9,827.51","9,782.11","9,830.59","9,744.99","128.5M","1.06%"
"12/11/2010","9,724.81","9,810.30","9,851.42","9,724.81","129.4M","-1.39%"
"11/11/2010","9,861.46","9,878.11","9,885.37","9,834.82","139.6M","0.31%"
"10/11/2010","9,830.52","9,748.61","9,842.90","9,747.03","168.8M","1.40%"
"09/11/2010","9,694.49","9,667.44","9,726.60","9,659.86","122.1M","-0.39%"
"08/11/2010","9,732.92","9,699.79","9,737.01","9,677.87","118.2M","1.11%"
"05/11/2010","9,625.99","9,500.60","9,680.68","9,497.45","160.9M","2.86%"
"04/11/2010","9,358.78","9,282.79","9,377.76","9,276.71","133.1M","2.17%"
"02/11/2010","9,159.98","9,140.28","9,172.03","9,123.62","115.2M","0.06%"
"01/11/2010","9,154.72","9,166.85","9,258.32","9,134.47","125.4M","-0.52%"
"29/10/2010","9,202.45","9,327.25","9,337.92","9,179.15","166.9M","-1.75%"
"28/10/2010","9,366.03","9,368.61","9,413.68","9,350.44","146.8M","-0.22%"
"27/10/2010","9,387.03","9,436.01","9,453.79","9,329.86","130.2M","0.10%"
"26/10/2010","9,377.38","9,386.55","9,455.04","9,362.13","107.3M","-0.25%"
"25/10/2010","9,401.16","9,424.44","9,460.70","9,392.68","98M","-0.27%"
"22/10/2010","9,426.71","9,404.09","9,457.62","9,390.14","108.5M","0.54%"
"21/10/2010","9,376.48","9,443.95","9,479.25","9,326.78","131.5M","-0.05%"
"20/10/2010","9,381.60","9,399.65","9,402.05","9,316.97","138.4M","-1.65%"
"19/10/2010","9,539.45","9,490.09","9,575.14","9,489.68","118.5M","0.43%"
"18/10/2010","9,498.49","9,517.68","9,564.85","9,471.48","104.8M","-0.02%"
"15/10/2010","9,500.25","9,551.21","9,553.57","9,478.64","143.8M","-0.87%"
"14/10/2010","9,583.51","9,515.17","9,614.44","9,481.51","171M","1.91%"
"13/10/2010","9,403.51","9,473.78","9,510.19","9,393.52","144M","0.16%"
"12/10/2010","9,388.64","9,648.59","9,650.20","9,387.73","140.7M","-2.09%"
"08/10/2010","9,588.88","9,675.59","9,675.59","9,588.88","147.9M","-0.99%"
"07/10/2010","9,684.81","9,661.09","9,716.92","9,649.17","171.2M","-0.07%"
"06/10/2010","9,691.43","9,588.47","9,693.74","9,567.00","234.3M","1.81%"
"05/10/2010","9,518.76","9,337.43","9,538.35","9,332.19","193.8M","1.47%"
"04/10/2010","9,381.06","9,410.92","9,508.36","9,358.82","161.2M","-0.25%"
"01/10/2010","9,404.23","9,440.52","9,470.36","9,358.62","163.2M","0.37%"
"30/09/2010","9,369.35","9,554.83","9,566.84","9,369.35","145.8M","-1.99%"
"29/09/2010","9,559.38","9,530.05","9,600.93","9,502.34","134.7M","0.67%"
"28/09/2010","9,495.76","9,547.03","9,553.91","9,471.35","97.5M","-1.12%"
