month,corr_SH_Hang_Seng,corr_SH_Nikkei,corr_SH_KOSPI,corr_SH_STI,corr_SH_SP500,DCEF,RIPO,NIPO,NA,TURN,CCI,ISI,StdISI
2013-07,0.596704299987521,0.312255598375058,0.360650588208674,0.423445204655154,0.16908984682192,-0.114,0.0,0,12.23,0.1603,97.0,30.08,-1.64
2013-08,0.585547068602416,0.309374199361735,0.355561918892129,0.395092681522712,0.183145732106854,-0.1207,0.0,0,11.72,0.1815,97.2,29.81,-1.57
2013-09,0.541887698511092,0.316576788670767,0.341629910264791,0.354538858770277,0.174418482854506,-0.0903,-0.0521,1,13.13,0.1957,97.8,31.07,-1.41
2013-10,0.506715515161117,0.277908284180079,0.320443366022972,0.301659406611248,0.0954338900677084,-0.1112,0.0,0,12.25,0.2241,99.8,30.77,-1.3
2013-11,0.542404662649404,0.304677155609565,0.352411638150789,0.320370837467644,0.0551860407006136,-0.0932,0.0,0,13.41,0.2158,102.9,32.23,-1.21
2013-12,0.540770620030247,0.268608440210686,0.329400711034752,0.279909849653107,0.047858690061129,-0.1139,0.6058,1,13.27,0.1677,98.9,31.7,-1.12
2014-01,0.548866915529198,0.267174820800654,0.374449044653127,0.265981974512174,0.0804774402312181,-0.1018,0.4294,43,11.12,0.1556,102.3,40.55,-0.62
2014-02,0.504849555945164,0.249525254630568,0.364159724184405,0.259433219908073,0.0699802471905142,-0.0954,0.4111,5,17.0,0.153,101.1,35.4,-1.11
2014-03,0.498945094862442,0.227741029337471,0.328164692947319,0.260229841947217,0.0423636190489461,-0.0816,0.0,0,21.69,0.2485,103.1,37.59,-0.9
2014-04,0.535308326181594,0.197752703699612,0.348431250314353,0.270550992801328,-0.0155412947593328,-0.0728,0.0,0,11.28,0.182,107.9,32.0,-1.23
2014-05,0.534921728318505,0.196277612181864,0.323172478932884,0.232428196081187,0.0337239195740852,-0.0868,0.0,0,9.58,0.1519,104.8,30.18,-1.48
2014-06,0.517136148629759,0.168080351524276,0.301057779608939,0.206791360442078,0.0478070796425234,-0.0897,0.4401,4,14.98,0.1255,102.3,34.16,-1.21
2014-07,0.52400420239664,0.180032216059474,0.304727473761927,0.229123000090817,0.0503197830446454,-0.0915,0.4399,9,17.66,0.1446,104.7,37.57,-0.97
2014-08,0.560248318989778,0.207045683591483,0.321943215816805,0.242373960575066,0.0404050248397437,-0.0833,0.4402,9,21.46,0.1992,104.4,39.96,-0.66
2014-09,0.529431502416825,0.231554310272086,0.254486056232387,0.277459963060394,0.0591101307491049,-0.1105,0.4399,11,29.18,0.2387,103.8,45.23,-0.43
2014-10,0.495141697655417,0.204586536337146,0.21397445899955,0.255541900850649,0.073137465587683,-0.0974,0.44,15,27.53,0.2855,105.4,45.48,-0.14
2014-11,0.505508973740088,0.209876679939893,0.235510021087398,0.247576936986531,0.0882770059366196,-0.1209,0.44,8,36.12,0.2738,103.4,48.91,-0.26
2014-12,0.50780296869011,0.192866926969043,0.237470775685368,0.180739049611313,0.05735089351662,-0.1177,0.44,21,99.38,0.3154,105.5,92.86,1.13
2015-01,0.485313318387999,0.139574670184287,0.169981512568895,0.0967587637763392,-0.0315313988728278,-0.0848,0.5533,23,65.81,0.4851,105.8,72.04,1.54
2015-02,0.479891762788428,0.107616061672732,0.137429975502551,0.0848158072888392,0.0097749030293451,-0.1161,0.4401,21,37.29,0.3617,105.7,53.19,0.38
2015-03,0.473815023189694,0.135086185298615,0.143588339636504,0.085696019402196,0.0704466340130027,-0.0994,0.4399,27,162.3,0.2814,109.8,135.46,2.18
2015-04,0.522783595938868,0.206192344799595,0.217940119242092,0.133325751296476,0.114231751017886,-0.101,0.44,30,165.84,0.4755,107.1,137.89,3.04
2015-05,0.547730164006948,0.245480868657698,0.300788324994538,0.257702060528506,0.0687006709044517,-0.1258,0.44,44,138.62,0.6133,107.6,123.83,3.35
2015-06,0.53430726151767,0.233821777431206,0.224264290892652,0.214032903338188,0.032371148837219,-0.195,0.44,43,154.74,0.5996,109.9,134.41,3.39
2015-07,0.54922704379988,0.255523774170518,0.220135346184783,0.293640061453917,0.0930991867498915,-0.1464,0.44,5,68.29,0.6786,105.5,69.51,1.89
2015-08,0.55786836160677,0.2884767739019,0.23831649051175,0.302557308578272,0.146720086213909,-0.1736,0.0,0,45.62,0.5474,104.5,53.35,0.51
2015-09,0.560121720121631,0.354251309028526,0.27999175737158,0.343655349609852,0.210147494339413,-0.1719,0.0,0,36.11,0.5143,104.0,47.13,0.22
2015-10,0.548330977580282,0.350549861135649,0.294678809853668,0.353381417594651,0.207077671077169,-0.0966,0.0,0,35.56,0.3384,105.6,47.08,-0.3
2015-11,0.538551220464557,0.353599192493297,0.285911381872106,0.359683989015456,0.164945699135883,-0.1121,2.4248,1,49.07,0.487,103.8,56.74,2.14
2015-12,0.521318339181277,0.301086711256403,0.213842716670077,0.359489842203453,0.102137470881873,-0.1003,0.4777,29,47.24,0.5275,104.1,61.12,1.39
2016-01,0.563405375544082,0.366525178416956,0.338950297763491,0.437022965887709,0.209348676447956,-0.09,0.44,1,45.03,0.3681,103.7,53.16,0.27
2016-02,0.550557941246553,0.331471268615176,0.320276391466391,0.421069711092916,0.192621154339999,-0.0542,0.4401,7,38.49,0.2814,104.0,50.37,-0.01
2016-03,0.560753642581842,0.312722688972365,0.307622381591701,0.389977634967546,0.204147965558717,-0.0588,0.44,16,76.4,0.2971,104.4,76.78,0.76
2016-04,0.538354028005338,0.26117692832048,0.298872450329568,0.387469657641619,0.171530907909598,-0.06,0.44,11,51.71,0.3319,100.0,58.84,0.37
2016-05,0.57193271689349,0.285334708780428,0.352716529466674,0.422930837897112,0.187186593674137,-0.0496,0.44,13,47.38,0.3088,101.0,56.75,0.28
2016-06,0.563327144274491,0.35268488195335,0.384403500271694,0.40065148377389,0.193800780366719,-0.0506,0.4401,13,47.36,0.234,99.8,56.43,-0.07
2016-07,0.535242732784212,0.354572372021272,0.396022107545661,0.402407242413945,0.180789764001209,-0.0492,0.44,13,43.54,0.3048,102.9,54.73,0.24
2016-08,0.478371040865218,0.265226447049886,0.338609421381739,0.319468079748248,0.145766178233714,-0.0377,0.4399,30,73.3,0.3136,106.8,78.53,1.09
2016-09,0.490778711231679,0.269212446090302,0.364005951858072,0.325854723172282,0.153113225284627,-0.0347,0.4399,22,61.79,0.2449,105.6,69.04,0.49
2016-10,0.515439577616512,0.32839844610499,0.347060001142837,0.318637977023442,0.129148036958181,-0.0271,0.44,22,43.67,0.2044,104.6,57.2,0.04
2016-11,0.516503433564595,0.332226738309539,0.361276013573462,0.320248298809001,0.121840217211732,-0.0253,0.44,34,58.27,0.2374,107.2,69.88,0.64
2016-12,0.514106906112083,0.313482988868684,0.318717645192493,0.274213826539844,0.122485526452015,-0.0287,0.4399,45,46.56,0.2927,108.6,65.23,0.87
2017-01,0.506461707787179,0.310647310633253,0.291751601247115,0.277903110138693,0.154070969314342,-0.0285,0.4399,54,31.88,0.2086,108.4,57.79,0.41
2017-02,0.492434500631149,0.308031647180787,0.290924403919447,0.276723533903245,0.160645181605127,-0.0136,0.44,33,50.5,0.1781,109.2,65.11,0.32
